# AGNs_file: data/AGNs-2018-04-26.dat
# Using datacube fitting map to calculate the L[O III] 5007
plateifu LO3 LO3_err_low LO3_err_up LO3_redcorr LO3_redcorr_err_low LO3_redcorr_err_up outflow_strength outflow_strength_err
9499-6101 40.30144499339898 0.0008151573083021826 0.0010689817593497115 40.53639767022155 0.07383016320227623 0.5464808613837312 0.00037866899989525614 0.000112070136127258
10215-1902 39.734823006558514 0.0015310289120112142 0.0017799244680411141 40.061983570862445 0.09874374374649895 0.5028578075569877 0.012490699124160736 0.0013612360661144607
9495-1901 39.38684486087833 0.0010698677265647066 0.001108469923758817 39.47673253951223 0.06694805084687046 0.46528867393777273 0.03430773354593192 0.001980753529676966
8723-6104 40.52665810041734 0.0012550961939994318 0.0012732489325868372 40.61877330786129 82.38637703706652 0.45036599463359855 0.3270252287251064 0.0038200201579921393
9489-6104 40.08049172326623 0.0006529632685934296 0.0007952168976775121 40.41108129503738 0.030644787028392666 0.6696206873723395 0.14982329915010426 0.001510434176073586
8998-12705 40.925664243719 0.000933564257073208 0.001035574917215204 41.093467270368045 0.06620591080533579 0.5446416420679021 0.12814340542772287 0.0020549131961382287
8981-6104 40.87544940761941 0.0009665144705244203 0.001203214573425982 41.13591775479435 0.08379633122066378 0.5868263854347068 0.05731535976881344 0.0019004391605973133
8988-6102 40.36071727104865 0.002323266763615308 0.003388410892601534 41.0115631982041 0.15805809114544217 0.6265386845696882 0.0 0.0
10514-12705 39.785214055549915 0.0009784968244862997 0.0011132506715621372 40.35426381684577 0.1421269319738484 0.5383892480195035 0.03256407338548224 0.0014110258063292803
10514-9102 40.56788573262698 0.00045788325776344727 0.00048165559241111663 41.14837987645566 0.042211553077216836 0.4907484177625195 0.21938717089851692 0.0011158815998654858
10510-12704 39.61613412711689 0.00015426440420910422 0.00015900410764399295 39.76158875651865 0.0173398751480684 0.46808071379557215 0.11473912223071582 0.0003030863257459135
10510-6103 40.32217044024365 0.0007283761504959239 0.0008605658998339874 40.774555168724554 0.10699972411717085 0.48226082661675074 0.08015544171085714 0.0013848913341265744
10493-3704 40.7166562992953 0.0003409171787237859 0.00034553098203083917 41.04996364897349 0.03771274003399253 0.4386738909593929 0.06575706467334212 0.0006484025112546473
9884-3704 40.912927169616054 0.00030086771369970704 0.00031198690169837465 41.16446249819835 0.02655437465369763 0.4633246774880292 0.032361679742468764 0.000535737947427707
10494-12701 40.98451733652568 0.000791450803924316 0.0008518956375290752 41.11671482333468 0.05575448126619552 0.49803977835808566 0.250410469472341 0.0021634513016298164
10508-12703 40.9474803796593 0.00048679797355863846 0.000549075217911928 41.24529815633347 0.026094505854906965 0.5406290868072643 0.23947381071910875 0.0012628362742476554
10508-6101 40.422409659786105 0.0012629685946981355 0.0012629685946981355 40.744201860749534 0.1514248107629027 0.43429448190325176 0.13872905844572458 0.0025329364066861695
10492-12702 40.0149802827457 0.0009956538761023643 0.00114865791559377 40.15505867270403 0.03145149130121469 0.6776731464544766 0.06946774880969582 0.0020949510577018974
10492-6103 40.890140276065736 0.00025091536877894926 0.00025218740763811143 41.64671374653245 0.034866688580222224 0.45353325177418136 0.08710553094813114 0.0004812047384394077
9882-9102 40.75046112739854 0.001017637551534639 0.0010176728786760875 40.95878305389414 0.5011777478028009 0.43433085557180323 0.05585593297031957 0.0020523043367777754
9882-3701 39.848894488079715 0.0018636681529887796 0.002052281195620158 39.942520359239026 0.0778253470002279 0.5487816794125412 0.0026680791196870093 0.0018385135221554304
10503-12703 40.312598445639246 0.0007024116543523415 0.0008342017579507899 40.81729187300381 0.1760393782108064 0.6226538910884111 0.25702566054260295 0.0018461128481826034
9091-3704 41.37309364215651 0.0001705114707210831 0.0001770943890605495 41.36840139276495 0.11556107937000984 0.44233434314745035 0.08920890310800417 0.000307202908788573
9091-12703 40.05736166814396 0.0009477164490434557 0.0010082813540606154 40.566915131113426 0.06099346938851485 0.7480752774147651 0.07093787181852816 0.0018795749696696072
8337-1901 41.50678376114856 0.001383137634328435 0.0014652798481577583 41.70102290590575 0.09795792931543346 0.5763436111901632 0.594519606435287 0.009031950252372738
9885-3703 39.864714471706954 0.001198825998435585 0.0012446517417655486 40.51774942158434 0.14731954111532786 0.4380287904240383 0.020957630059446678 0.0014014100813333572
8334-3703 39.41506053494614 0.002399289204233537 0.0024234246650459332 39.58143112836264 1.1413137091183863 0.4350032474785065 0.029519294755028853 0.003146824645818251
8260-1901 40.04356092832445 0.00041407833186572415 0.0004378863208977166 40.03742550159399 0.03677501202115473 0.8006238839620899 0.001690956811717313 0.00035921188245780373
9892-3703 41.11193289532309 0.0005411714670744149 0.000545258904755038 41.34728031950117 0.11920609341915925 0.44306872281250337 0.10905558615926861 0.0011233185740512435
8324-6104 40.53686616949476 0.0024974511003802704 0.0024984272161841427 41.09762840874787 0.12069138767034178 0.4344961439720737 0.25937723346311825 0.0064706334424046025
8614-12703 40.55873214923895 0.00048234029498803833 0.0004980532967304108 41.03577092714165 0.06987436712951642 0.5095918464082234 0.244115530639938 0.0012330474160604594
8614-3703 40.25192263653252 0.0020586920151204687 0.0020648851532460194 40.66029065452461 0.07158184665084255 0.4453737107963073 0.1809444799950402 0.004581845705666886
9092-1902 40.78354441570315 0.0006123296675341343 0.0006796283523257439 40.97103908064996 0.019717482761417052 0.5502464568459933 0.31035967417144783 0.0018338802940520758
9032-12701 40.62806055566953 0.0009045969202605996 0.001042722651318724 41.397219193836165 0.13788433657314067 0.5073066704080625 0.07977078763204969 0.001764082305702932
9032-12702 41.00043636128778 0.0006229361551396386 0.0006440155793906898 41.1612227898946 0.05657327347158315 0.4990706686419431 0.06783256576952301 0.0011895190216251318
8593-12705 41.41674192293273 0.00031568629216751525 0.0003409261328917459 41.772929118172264 0.0503295606716418 0.8588106937039472 0.35400712389439726 0.000993237546183164
9090-9102 40.20713627320424 0.002857494649504991 0.0035434713997784285 40.417676974975016 0.10984345822534725 0.6510761892206794 0.14105341874655605 0.006061820707930716
9090-3701 40.96405165560109 0.0011989213651875232 0.0016500942135707908 41.36124581330132 0.04375738297466741 0.5060194065064811 0.40004809273258746 0.0033607146074350483
8651-1902 41.07708617133012 0.0005865725116159026 0.0005865725116159026 41.57527234596176 0.585501484673444 0.43429448190325176 0.25013325679713416 0.0015949355541323453
